ID,Sex,Age
S1-1-0001,2,36
S1-1-0002,2,28
S1-1-0003,2,55
S1-1-0004,2,48
S1-1-0005,1,21
S1-1-0006,1,21
S1-1-0007,1,45
S1-1-0008,2,29
S1-1-0009,2,29
S1-1-0010,1,50
S1-1-0011,1,20
S1-1-0012,1,29
S1-1-0013,1,20
S1-1-0014,2,30
S1-1-0015,1,30
S1-1-0016,2,22
S1-1-0017,1,36
S1-1-0018,2,30
S1-1-0019,2,47
S1-1-0020,2,22
S1-1-0021,2,34
S1-1-0022,2,46
S1-1-0023,2,20
S1-1-0024,1,36
S1-1-0025,2,25
S1-1-0026,2,26
S1-1-0027,2,39
S1-1-0028,2,34
S1-1-0029,2,36
S1-1-0030,2,32
S1-1-0031,2,32
S1-1-0032,1,26
S1-1-0033,1,43
S1-1-0034,2,23
S1-1-0035,1,28
S1-1-0036,1,34
S1-1-0037,2,34
S1-1-0038,1,25
S1-1-0039,1,36
S1-1-0040,1,33
S1-1-0041,2,38
S1-1-0042,2,44
S1-1-0043,1,30
S1-1-0044,2,30
S1-1-0045,1,25
S1-1-0046,1,30
S1-1-0047,2,33
S1-1-0048,2,19
S1-1-0049,2,32
S1-1-0050,1,28
S1-1-0051,2,28
S1-1-0052,1,44
S1-1-0053,1,27
S1-1-0054,2,27
S1-1-0055,1,29
S1-1-0056,1,29
S1-1-0057,2,26
S1-1-0058,1,38
S1-1-0059,2,30
S1-1-0060,2,35
S1-1-0061,2,38
S1-1-0062,2,52
S1-1-0063,1,28
S1-1-0064,2,43
S1-1-0065,1,26
S1-1-0066,2,21
S1-1-0067,2,33
S1-1-0068,2,25
S1-1-0069,2,24
S1-1-0070,2,38
S1-1-0071,1,29
S1-1-0072,1,25
S1-1-0073,2,28
S1-1-0074,1,25
S2-1-0001,2,51
S2-1-0002,1,45
S2-1-0003,2,40
S2-1-0004,2,62
S2-1-0005,1,65
S2-1-0006,2,44
S2-1-0007,1,29
S2-1-0008,2,41
S2-1-0009,2,38
S2-1-0010,2,39
S2-1-0011,2,36
S2-1-0012,2,46
S2-1-0013,2,55
S2-1-0014,2,55
S2-1-0015,2,25
S2-1-0016,2,42
S2-1-0017,2,33
S2-1-0018,2,20
S2-1-0019,2,31
S2-1-0020,2,30
S2-1-0021,2,59
S2-1-0022,2,56
S2-1-0023,2,59
S2-1-0024,1,63
S2-1-0025,1,54
S2-1-0026,1,61
S2-1-0027,2,44
S2-1-0028,2,32
S2-1-0029,2,39
S2-1-0030,2,22
S3-1-0001,2,24
S3-1-0002,2,19
S3-1-0003,1,24
S3-1-0004,2,18
S3-1-0005,1,21
S3-1-0006,2,20
S3-1-0007,2,22
S3-1-0008,2,17
S3-1-0009,2,19
S3-1-0010,2,19
S3-1-0011,2,20
S3-1-0012,2,18
S3-1-0013,2,20
S3-1-0014,2,21
S3-1-0015,2,20
S3-1-0016,1,19
S3-1-0017,2,18
S3-1-0018,1,22
S3-1-0019,2,20
S3-1-0020,2,20
S3-1-0021,1,20
S3-1-0022,1,20
S3-1-0023,1,22
S3-1-0024,1,22
S3-1-0025,1,24
S3-1-0026,1,20
S3-1-0027,1,21
S5-1-0001,1,27
S5-1-0002,2,36
S5-1-0003,1,43
S5-1-0004,2,36
S5-1-0005,2,28
S5-1-0006,2,32
S5-1-0007,1,29
S5-1-0008,1,27
S5-1-0009,1,36
S5-1-0010,2,40
S5-1-0011,1,29
S5-1-0012,1,26
S5-1-0013,1,41
S6-1-0001,1,27
S6-1-0002,1,32
S6-1-0003,2,22
S6-1-0004,2,48
S6-1-0005,2,18
S6-1-0006,2,29
S6-1-0007,1,38
S6-1-0008,1,23
S6-1-0009,1,18
S6-1-0010,2,29
S6-1-0011,2,57
S6-1-0012,2,24
S6-1-0013,2,25
S6-1-0014,2,33
S6-1-0015,1,39
S7-1-0001,1,37
S7-1-0002,2,35
S7-1-0003,2,51
S7-1-0004,2,38
S7-1-0005,2,31
S7-1-0006,1,42
S7-1-0007,1,35
S7-1-0008,1,31
S7-1-0009,1,30
S7-1-0010,2,29
S7-1-0011,2,33
S7-1-0012,1,51
S7-1-0013,1,48
S7-1-0014,1,64
S7-1-0015,2,56
S7-1-0016,2,36
S7-1-0017,2,44
S7-1-0018,1,26
S7-1-0019,1,24
S7-1-0020,2,57
S7-1-0021,2,49
S7-1-0022,2,35
S7-1-0023,2,44
S7-1-0024,2,28
S7-1-0025,2,29
S7-1-0026,1,37
S7-1-0027,1,26
S7-1-0028,2,43
